7;AGUA1079;AGUA C/ GAS DA PEDRA 500ML;UN;96;8;1,2999;124,79;8;5;;
8;AGUA1080;AGUA S/ GAS DA PEDRA 500ML;UN;240;20;1,1999;287,98;20;5;;1
9;;;;;;;;;;;
1;CER274;CERVEJA CORONA EXTRA 330 ML LONG NECK;UN;192;8;6,9999;1343,98;;10;;
2;CER82;CERVEJA HEINEKEN LONG 330 ML;UN;192;8;6,9999;1343,98;;10;;
3;REF179;REFRIGERANTE COCA COLA LATA TRAD FD C/ 12 350 ML;UN;240;20;3,6999;887,98;;7;;
4;REF223;REFRIGERANTE COCA COLA LATA ZERO 350 ML FD COM 6UN;UN;120;20;3,6999;443,99;;7;;
5;REF178;REFRIGERANTE GUARANA ANTARCTICA LATA 350 ML;UN;96;8;3,3999;326,39;;7;;
6;REF630;REFRIGERANTE GUARANA ANTARCTICA ZERO LATA 350 ML;UN;48;4;3,3999;163,2;;7;;
;;;;;;;;;;;
;;vinho pata negra oro;;1;;50;;;80;;
;;vinho pata negra oro;;1;;50;;;80;;
;;vinho pata negra oro;;1;;50;;;80;;
;;Vinho Chileno Estampa Ruta 90 Reserva Cabernet Sauvignon;;1;;50;;;80;;
;;Vinho Chileno Estampa Ruta 90 Reserva Cabernet Sauvignon;;1;;50;;;80;;
;;Montgras estate rose;;1;;40;;;60;;
;;;;1;;;;;;;
;;D.V. Catena Cabernet-Malbec;;1;;80;;;130;;
;;Trivento Reserva Malbec;;1;;60;;;100;;
;;Perez Cruz Gran Reserva Cabernet Sauvignon;;1;;70;;;110;vendido;
;;La Linda Malbec;;1;;70;;;110;;
;;Tarapacá Reserva Merlot;;1;;70;;;110;;
;;Montgras Gran Reserva Cabernet Sauvignon;;1;;60;;;100;;
;;;;1;;;;;;;
;;benjamin cabernet sauvignon;;1;;40;;;60;;
;;vinho tinto argentino sottano reserva cabernet sauvignon 750ml;;1;;60;;;90;;
;;vinho Tinto Uruguaio Cóm plice Reserva Tannat;;1;;50;;;80;;
;;Vinho Chileno De Martino Parcela #37 Cabernet Sauvignon Maipo D.O;;1;;50;;;80;;
;;Vinho Tinto Chileno Faro Reserva Carmenere;;1;;40;;;60;;
;;ventisquero reserva rosé;;1;;60;;;90;;
;;Vinho Tolva Reserva Carmenére;;1;;50;;;80;;
;;Vinho Tolva Reserva Carmenére;;1;;50;;;80;Vendido – cobrar aline;
;;Vinho Branco Argentino Torreon Blend;;1;;40;;;60;;
;;;;1;;;;;;;
;;La escondida reserva malbec;;1;;50;;;80;;
;;Vinho Devil's Carnaval Spectacular Cabernet Casillero Del Diablo;;1;;50;;;80;;
;;Vinho Tinto Chileno Casillero Del Diablo Merlot;;1;;50;;;80;;
;;vinho tinto chileno tripantu gran reserva cabernet sauvignon;;1;;50;;;80;;
;;vinho tinto chileno tripantu gran reserva carmenere;;1;;50;;;80;;
;;vinho tinto chileno 8pasos reserva carmenere 750ml;;1;;40;;;60;;
;;;;;;;;;;;
;;PAÇOCA;;65;;0,629230769230769;40,9;;2;;
;;AMENDOIM;;44;;1,13409090909091;49,9;;2;;
